date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:28	130/130	---MCZ	200	added ('OK')	text/css	etag:W/%2282-697d959c-8e37f6;;;%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:28	5946/5946	---MCZ	200	added ('OK')	text/css	etag:W/%22173a-697da94f-8e2cf3;br%22	https://hi.inviee.id/wp-content/plugins/elementor-pro/assets/css/widget-gallery.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor-pro/assets/css/widget-gallery.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:29	3303/3303	---MCZ	200	added ('OK')	text/css	etag:W/%22ce7-697d959c-8e3833;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css?ver=1.2.0	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min7359.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:29	7256/7256	---MCZ	200	added ('OK')	text/css	etag:W/%221c58-697da94f-8e2cf7;br%22	https://hi.inviee.id/wp-content/plugins/elementor-pro/assets/css/conditionals/transitions.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor-pro/assets/css/conditionals/transitions.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:29	24249/24249	---MCZ	200	added ('OK')	text/css	etag:W/%225eb9-6979c9e6-8de505;br%22	https://hi.inviee.id/wp-content/plugins/eveent/assets/css/ev-rsvp-style.css?ver=1.4.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/eveent/assets/css/ev-rsvp-stylec2d0.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:29	58071/58071	---MCZ	200	added ('OK')	text/css	etag:W/%22e2d7-697d959c-8e384d;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:30	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%2229d-697d959c-8e3851;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:30	675/675	---MCZ	200	added ('OK')	text/css	etag:W/%222a3-697d959c-8e3849;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:30	677/677	---MCZ	200	added ('OK')	text/css	etag:W/%222a5-697d959c-8e384f;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:30	7377/7377	---MCZ	200	added ('OK')	text/css	etag:W/%221cd1-6979c9e6-8de507;br%22	https://hi.inviee.id/wp-content/plugins/eveent/assets/css/ewf-barcode-style.css?ver=1.4.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/eveent/assets/css/ewf-barcode-stylec2d0.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
